,titles,authors,dates
2045,How to Interpret Vitamin D Dosage Using Numbers,Benquo,6mo
2046,Notes on the Autobiography of Malcolm X,Benquo,6mo
2047,Understanding Gödel's Incompleteness Theorem,Rafael Harth,6mo
2048,The Zombie Argument for Empiricists,JonathanErhardt,6mo
2049,What I Was Thinking About Before Alignment,johnswentworth,6mo
2050,[Link] A minimal viable product for alignmentΩ,janleike,6mo
2051,[Link] Why I’m excited about AI-assisted human feedbackΩ,janleike,6mo
2052,Strategic Considerations Regarding Autistic/Literal AI,Chris_Leong,6mo
2053,DALL·E 2 by OpenAI,P.,6mo
2054,[Intro to brain-like-AGI safety] 11. Safety ≠ alignment (but they’re close!)Ω,Steven Byrnes,6mo
2055,Research agenda: Can transformers do system 2 thinking?,p.b.,6mo
2056,"PaLM in ""Extrapolating GPT-N performance""Ω",Lanrian,6mo
2057,"What Twitter fixes should we advocate, now that Elon is on the board?Q",Jackson Wagner,6mo
2058,Prioritise Tasks by Rating not Sorting,Neel Nanda,6mo
2059,"Supervise Process, not OutcomesΩ","stuhlmueller, jungofthewon",6mo
2060,My agenda for research into transformer capabilities - Introduction,p.b.,6mo
2061,Forecasting Newsletter: March 2022,NunoSempere,6mo
2062,What Would A Fight Between Humanity And AGI Look Like?,johnswentworth,6mo
2063,Prompt Your Brain,En Kepeig,6mo
2064,Save Humanity! Breed Sapient Octopuses!,Yair Halberstadt,6mo
2065,"Ideal governance (for companies, countries and more)",HoldenKarnofsky,5mo
2066,Non-programmers intro to AI for programmers,Dustin,6mo
2067,The case for Doing Something Else (if Alignment is doomed),Rafael Harth,6mo
2068,My Transhuman Dream,Johannes C. Mayer,6mo
2069,Are the fundamental physical constants computable?,Yair Halberstadt,6mo
2070,5-Minute Advice for EA Global,Logan Riggs,6mo
2071,Explaining the Twitter Postrat Scene,Jacob Falkovich,6mo
2072,Ukraine Post #9: Again,Zvi,6mo
2073,Optimizing crop planting with mixed integer linear programming in Stardew Valley,hapanin,6mo
2074,Software Engineering: Getting Hired and Promoted,G Gordon Worley III,6mo
2075,Over-Organization (Chapter 5),Justin Bullock,6mo
2076,Greyed Out Options,ozymandias,6mo
2077,App Review: Amaru,ozymandias,6mo
2078,"Debt, Submission, and a Technical Definition of Drama",Benquo,6mo
2079,Inner Ring as Adversary,Benquo,6mo
2080,"Language, Power, and the Categorical Imperative",Benquo,6mo
2081,Civil Law and Political Drama,Benquo,6mo
2082,Is the scaling race finally on?,p.b.,6mo
2083,Premortem as communication device (e.g. in relationship),becausecurious,6mo
2084,Call For DistillersΩ,johnswentworth,5mo
2085,Google's new 540 billion parameter language model ,Matthew Barnett,6mo
2086,Best informative videos on the InternetQ,Ege Erdil,6mo
2087,Not-Useless Advice For Dealing With Things You Don't Want to Do,Rafael Harth,6mo
2088,Dr Fauci as Machiavellian Boddhisattva,Benquo,6mo
2089,Ways to do advanced tag filteringQ,lizard_brain,6mo
2090,Giving calibrated time estimates can have social costs,Alex_Altair,6mo
2091,The Case for Frequentism: Why Bayesian Probability is Fundamentally Unsound and What Science Does Instead,lsusr,6mo
2092,The fingerprints of ideology in science,Malmesbury,6mo
2093,How to write a LW sequence to learn a topic?Q,PabloAMC,6mo
2094,Should we push for banning making hiring decisions based on AI?Q,ChristianKl,6mo
2095,Working Out in VR Really Works,Yonatan Cale,6mo
2096,On Agent Incentives to Manipulate Human Feedback in Multi-Agent Reward Learning ScenariosΩ,Francis Rhys Ward,6mo
2097,"Science is Mining, not Foraging",Seb Farquhar,6mo
2098,A simple guide to life,jasoncrawford,6mo
2099,How Real Moral Mazes (in Bay Area startups)?,G Gordon Worley III,6mo
2100,[Book Review] Why Greatness Cannot Be Planned: The Myth of the Objective,Stuckwork,6mo
2101,"""Don't Get Mad, Get Curious""",Rubix,6mo
2102,The doomsday argument is normal,avturchin,6mo
2103,[Invisible Networks] Goblin Marketplace,Kaj_Sotala,6mo
2104,Avoiding Moral Fads?,Davis_Kingsley,6mo
2105,Very Dark Mouth-Shaped Non-fancy Chocolate?,jefftk,6mo
2106,20 Modern Heresies,rogersbacon,6mo
2107,Approach to Screen Time,jefftk,6mo
2108,Uncontrollable Super-Powerful Explosives,Sammy Martin,6mo
2109,Variadic functions in Hindley Milner,philh,6mo
2110,Book review: Very Important People,Richard_Ngo,6mo
2111,Real biosafety is socially inconvenient,ChristianKl,6mo
2112,How I repeatedly failed to use Tobit modelling on censored data,abstractapplic,6mo
2113,Noobs Need Rules,Jacob Falkovich,6mo
2114,What words should be shorter in the rational dictionary?Q,brook,6mo
2115,[Invisible Networks] Psyche-Sort,Kaj_Sotala,6mo
2116,Moloch and the sandpile catastrophe,Eric Raymond,6mo
2117,Moral Anti-Realism: Introduction & Summary,Lukas_Gloor,6mo
2118,Retrospective: Practical Social Networking,Evenflair,6mo
2119,Optional stopping,Ege Erdil,6mo
2120,How Money Fails to Track Value,JustinShovelain,6mo
2121,Unfinished Projects Thread,Gunnar_Zarncke,6mo
2122,Interacting with a Boxed AI,aphyer,6mo
2123,Two Forms of Moral Judgment,aphyer,6mo
2124,Manafold Markets is out of mana 🤭,Austin Chen,6mo
2125,The median and mode use less information than the mean does,Maxwell Peterson,6mo
2126,New Product MVP: LightWrong,E. Garrett,6mo
2127,Towards trying to feel consistently energized,Maxwell Peterson,6mo
2128,New Scaling Laws for Large Language ModelsΩ,1a3orn,6mo
2129,[Link] sona ike lili,AprilSR,6mo
2130,"Questions about ''formalizing instrumental goals""",Mark Neyer,6mo
2131,The real reason Futarchists are doomed,lc,6mo
2132,"To Make Better Software, Do What Artists Do",matto,6mo
2133,Announcing Impact Island: A New EA Reality TV Show,Linch,6mo
2134,"If you lose enough Good Heart Tokens, will you lose real-world money?Q",Yitz,6mo
2135,What's the problem with Oracular AIs?Q,FinalFormal2,6mo
2136,5 Tips for Good Hearting,Thomas Kwa,6mo
2137,Good Heart Donation LotteryQ,G Gordon Worley III,6mo
2138,Intro to hacking with the lambda calculus,LRudL,6mo
2139,The lure of technocracy,jasoncrawford,6mo
2140,The Halting Problem and the Impossible Photocopier,Jemist,6mo
2141,[Link] Training Compute-Optimal Large Language ModelsΩ,nostalgebraist,6mo
2142,Newcomb’s problem is just a standard time consistency problem,basil.halperin,6mo
2143,AXRP Episode 13 - First Principles of AGI Safety with Richard NgoΩ,DanielFilan,6mo
2144,Confidence Levels in Forecasts and Psychological SurveysQ,rodeo_flagellum,6mo
2145,Covid 3/31/2022: More of the Same,Zvi,6mo
2146,They Don’t Know About Second Booster,Zvi,6mo
2147,Ways to organize a search for a missing person in LA from abroad?Q,calmarrr,6mo
2148,A bicycle for your memory,sortega,6mo
2149,ELK Computational Complexity: Three Levels of DifficultyΩ,abramdemski,6mo
2150,Abandoned prototype video game teaching elementary circuit theory,Steven Byrnes,6mo
2151,"No, EDT Did Not Get It Right All Along: Why the Coin Flip Creation Problem Is Irrelevant",Heighn,6mo
2152,How to Make Your Article Change People's Minds or Actions? (Spoiler: Do User Testing Like a Startup Would),Yonatan Cale,6mo
2153,Procedurally evaluating factual accuracy: a request for researchΩ,Jacob_Hilton,6mo
2154,[ASoT] Some thoughts about LM monologue limitations and ELKΩ,leogao,6mo
2155,[Intro to brain-like-AGI safety] 10. The alignment problemΩ,Steven Byrnes,6mo
2156,Progress Report 2,Nathan Helm-Burger,6mo
2157,What would make you confident that AGI has been achieved?Q,Yitz,6mo
2158,Meta wants to use AI to write Wikipedia articles; I am Nervous™,Yitz,6mo
2159,Beyond Blame Minimization: Thoughts from the comments,physicaleconomics,6mo
2160,Gears-Level Mental Models of Transformer InterpretabilityΩ,KevinRoWang,6mo
2161,Debating myself on whether “extra lives lived” are as good as “deaths prevented”,HoldenKarnofsky,6mo
2162,Hinges and crises,"Jan_Kulveit, technicalities",6mo
2163,Strategies for differential divulgation of key ideas in AI capability,azsantosk,6mo
2164,Towards a better circuit prior: Improving on ELK state-of-the-artΩ,evhub,6mo
2165,"Summary: ""How to read a book"" by Mortimer Adler",Pablo Repetto,6mo
2166,Retreat for rationality meetup organizers (apply to attend!),mingyuan,6mo
2167,Can we simulate human evolution to create a somewhat aligned AGI? ,Thomas Kwa,6mo
2168,Mental nonsense: my anti-insomnia trick,AllAmericanBreakfast,6mo
2169,Vaniver's ELK SubmissionΩ,Vaniver,6mo
2170,[ASoT] Some thoughts about deceptive mesaoptimizationΩ,leogao,6mo
2171,Humans pretending to be robots pretending to be human,Richard_Kennaway,6mo
2172,Consequentialist veganism Q,tslarm,6mo
2173,Toward a general structure of economic explanation,physicaleconomics,6mo
2174,Do a cost-benefit analysis of your technology usage,TurnTrout,6mo
2175,Ukraine Post #7: Prediction Market Update,Zvi,6mo
2176,How many generals does Russia have left?Q,Yitz,6mo
2177,Sums and products,"Ege Erdil, Metaculus",6mo
2178,[ASoT] Searching for consequentialist structureΩ,leogao,6mo
2179,Practical everyday human strategizing,akaTrickster,6mo
2180,Manhattan project for aligned AI,Chris van Merwijk,6mo
2181,[ASoT] Some ways ELK could still be solvable in practiceΩ,leogao,6mo
2182,Beyond Blame Minimization,physicaleconomics,5mo
2183,Your specific attitudes towards AI safetyQ,Esben Kran,6mo
2184,"What are the top 1-10 posts / sequences / articles / etc. that you've found most useful for yourself for becoming ""less wrong""?Q",Aryeh Englander,6mo
2185,"When people ask for your P(doom), do you give them your inside view or your betting odds?QΩ",Vivek Hebbar,6mo
2186,"A Primer on God, Liberalism and the End of History",Mahdi Complex,6mo
2187,Agency and Coherence,David Udell,6mo
2188,"Magic, tricks, and high-dimensional configuration spaces",pchvykov,6mo
2189,Compute Governance: The Role of Commodity HardwareΩ,Jan,6mo
2190,Game that might improve research productivity,Jack R,6mo
2191,You must on average be improving to not guarantee failure.,eeegnu,6mo
2192,Primitive Perspectives and Sleeping Beauty,dadadarren,6mo
2193,[ASoT] Observations about ELKΩ,leogao,6mo
2194,Lesson Plan: Biases in Quantity Estimation,abstractapplic,6mo
2195,Your risk of developing long COVID is probably high,Siebe,6mo
2196,Why Agent Foundations? An Overly Abstract ExplanationΩ,johnswentworth,6mo
2197,"Summary: ""How to write a thesis"" by Umberto Eco",Pablo Repetto,6mo
2198,Is Metaculus Slow to Update?,SimonM,6mo
2199,Duels & D.Sci March 2022: It's time for D-d-d-d-d-d-d-d-d-d-d-d-d-d-data!,aphyer,6mo
2200,Contextual Self,ACrackedPot,6mo
2201,Fake Journal Club proposal,gwern,6mo
2202,My mistake about the war in Ukraine,Ege Erdil,6mo
2203,An outline of an ironic LessWrong post,Yitz,6mo
2204,Ukraine Post #6: More Data and Peace Terms,Zvi,6mo
2205,Chesterton’s Fence vs The Onion in the Varnish,Joel Burget,6mo
2206,The Ontics and The Decouplers,hawkebia,6mo
2207,What if fiat money was created at a fixed rate and given to government?Q,ViktorThink,6mo
2208,Christopher Alexander's architecture for learning,Henrik Karlsson,6mo
2209,Experimental longtermism: theory needs data,"Jan_Kulveit, technicalities",6mo
2210,"On expected utility, part 4: Dutch books, Cox, and Complete Class",Joe Carlsmith,6mo
2211,In the very near future the internet will answer all of our questions and that makes me sad,David Gross,6mo
2212,Covid 3/24/22: Respite,Zvi,6mo
2213,A survey of tool use and workflows in alignment researchΩ,"Logan Riggs, Jan, janus, jacquesthibs",6mo
2214,Rational and irrational infinite integers,Viliam,6mo
2215,Research on how pattern-finding contributes to memorization?Q,AllAmericanBreakfast,6mo
2216,Why Miracles Should Not Be Used as a Reason to Believe in a Religion,Yitz,6mo
2217,Announcing research,Pablo Repetto,6mo
2218,Flywheels of progress,jasoncrawford,6mo
2219,"Circular Counterfactuals ""Only that which Happens is Possible""",JohnBuridan,6mo
2220,[Intro to brain-like-AGI safety] 9. Takeaways from neuro 2/2: On AGI motivationΩ,Steven Byrnes,6mo
2221,Luna Lovegood and the Fidelius Curse - Part 12,lsusr,6mo
2222,"Different Is The Generator, Not A Side Effect",George3d6,6mo
2223,Job Offering: Help Communicate Infrabayesianism,"abramdemski, Vanessa Kosoy, Diffractor",6mo
2224,Wanted: Executive Assistant to help build the progress movement,jasoncrawford,6mo
2225,Cyberwar escalation,ChristianKl,6mo
2226,Albert Hirschman on liberalism and nationalism,David Hugh-Jones,6mo
2227,Lessons After a Couple Months of Trying to Do ML Research,KevinRoWang,6mo
2228,"Progress Report 1: interpretability experiments & learning, testing compression hypotheses",Nathan Helm-Burger,6mo
2229,Brain preservation to prevent involuntary death: a possible cause area,Andy_McKenzie,6mo
2230,Searching for post on Community TakeoverQ,Søren Elverlin,6mo
2231,"On expected utility, part 3: VNM, separability, and more",Joe Carlsmith,6mo
2232,Research Hamming Questions,johnswentworth,6mo
2233,Responsible AI communication survey,Anca G. Rusu,6mo
2234,Even more curated conversations with brilliant rationalists,spencerg,6mo
2235,Counter-theses on Sleep,Natália Coelho Mendonça,6mo
2236,"Jetlag, Nausea, and Diarrhea are Largely Optional",Thomas Kwa,6mo
2237,We cannot directly choose an AGI's utility function,azsantosk,6mo
2238,Why will an AGI be rational?,azsantosk,6mo
2239,The Dawn of Everything: a review,David Hugh-Jones,6mo
2240,Searching for outliers,benkuhn,6mo
2241,Civilization as Self-Restraint,Duncan_Sabien,6mo
2242,Ukraine Post #5: Bits of Information,Zvi,6mo
2243,How to ventilate,jefftk,6mo
2244,What are the best elementary math problems you know?Q,Ege Erdil,6mo
2245,Natural Value Learning,Chris van Merwijk,6mo
2246,How I fixed exercise,GabrielExists,6mo
2247,"Know of any randomised trials teaching debiasing in schools? Want to help review them, or would that review help your work?",MNoetel,6mo
2248,Trusting groups over individualsQ,castor07,6mo
2249,How to prevent authoritarian revolts?Q,lc,6mo
2250,On Context And People,Jan,6mo
2251,Exploring Finite Factored Sets with some toy examplesΩ,Thomas Kehrenberg,6mo
2252,Rationalists Should Learn Lock Picking,brook,6mo
2253,Wargaming AGI Development,ryan_b,6mo
2254,Can you be Not Even Wrong in AI Alignment?Q,throwaway8238,6mo
2255,"Goal-directedness: imperfect reasoning, limited knowledge and inaccurate beliefs",Morgan_Rogers,6mo
2256,Thoughts on the SPIES Forecasting Method?Q,rodeo_flagellum,6mo
2257,Retrospective: Context and Communication,The Guild of the Rose,6mo
2258,Notes on Social Responsibility,David Gross,6mo
2259,[Linkpost] 7 Swedish Words to Import,mike_hawke,6mo
2260,When will kids stop wearing masks at school?Q,"Daniel Kokotajlo, hath",6mo
2261,What to do after inventing AGI?Q,elephantcrew,6mo
2262,Cold Takes reader survey - let me know what you want more and less of!,HoldenKarnofsky,6mo
2263,Learned Blankness and Expectations of Solubility,brook,6mo
2264,"On expected utility, part 2: Why it can be OK to predictably lose",Joe Carlsmith,6mo
2265,Our time in history as evidence for simulation theory?Q,Garrett Garzonie,6mo
2266,On Defecting On Yourself,David Udell,6mo
2267,What Should I Do Today?Q,Cui,6mo
2268,Only needs a flying saucer,Mary Chernyshenko,6mo
2269,Nuclear Deterrence 101 (and why the US can't even hint at intervening in Ukraine),Darmani,6mo
2270,Phase transitions and AGI,"Ege Erdil, Metaculus",6mo
2271,Is Grabby Aliens built on good anthropic reasoning?Q,"Steven Byrnes, Tristan Cook",6mo
2272,Is there a link between Immigration Policy and Inflation?,hawkebia,6mo
2273,Using GPT-3 for preventing conflict during messaging — a pitch for an app,Eli_,6mo
2274,"What is the equivalent of the ""do"" operator for finite factored sets?Q",Chris van Merwijk,6mo
2275,"The One Who Says, ""Enough""",Sable,6mo
2276,Luna Lovegood and the Fidelius Curse - Part 11,lsusr,6mo
2277,Covid 3/17/22: The Rise of BA.2,Zvi,6mo
2278,"Why a No-Fly-Zone would be the biggest gift to Putin, and why Zelenskyy keeps asking for it [Linkpost and commentary]",Dojan,6mo
2279,Formal epistemiology for extracting truth from news sourcesQ,Enigma,6mo
2280,"On expected utility, part 1: Skyscrapers and madmen",Joe Carlsmith,6mo
2281,What do paradigm shifts look like?,leogao,6mo
2282,Thoughts on Crowdfunding with Refund Bonuses,Yoav Ravid,6mo
2283,Can you only realize objects in your mind after they appear?Q,Cui,6mo
2284,[Intro to brain-like-AGI safety] 8. Takeaways from neuro 1/2: On AGI developmentΩ,Steven Byrnes,6mo
2285,Replacing Natural Interpretations,adamShimi,6mo
2286,Some (potentially) fundable AI Safety Ideas,Logan Riggs,6mo
2287,[Quote] Why does i show up in Quantum Mechanics and other Beautiful Math Mysteries,Gunnar_Zarncke,6mo
2288,War Mode vs. Peace Mode,konstell,6mo
2289,Danger(s) of theorem-proving AI?Q,Yitz,6mo
2290,Do small studies add up?,one_forward,6mo
2291,I read Einstein's biography. Here are 15 quotes that reveal his philosophy on life.,dmabery,6mo
2292,My current thoughts on the risks from SETI,Matthew Barnett,6mo
2293,Smoking cigarettes in airplanes made the airplanes safer?,CraigMichael,6mo
2294,Probabilistic Negotiation,Robert Kennedy,6mo
2295,Dual use of artificial-intelligence-powered drug discoveryΩ,Vaniver,6mo
2296,Ukraine #4: Prediction Market Movement Modeling,Zvi,6mo
2297,AI researchers from Russia looking for a new home,AnonResearch,6mo
2298,Who is doing Cryonics-relevant research?Q,Wuschel Schulz,6mo
2299,ELK contest submission: route understanding through the human ontologyΩ,"Vika, Ramana Kumar, Vikrant Varma",6mo
2300,One possible approach to develop the best possible general learning algorithm,martillopart,6mo
2301,The Meaninglessness of it all,foxacc,6mo
2302,Technological Resurrection: Two Possible Approaches,Alex Polischuk,6mo
2303,[Linkpost] Growth in FLOPS used to train ML models,Derek M. Jones,6mo
2304,"Shotgun Book Reviews: Against Method, The Knowledge Machine and Understanding Nature",adamShimi,6mo
2305,Alex Tabarrok advocates for crowdfunding systems with *Refund Bonuses*. I think this might be a natural occurrence of a money pump against Causal Decision Theory pledgers,MakoYass,6mo
2306,May I Speak?,Raythen,6mo
2307,MicroCOVID risk levels inaccurate due to undercounting in data sources vs wastewater data? Q,Sameerishere,6mo
2308,Ethicality Behind Breaking the Glass Ceiling,foxacc,6mo
2309,Omicron #16: Danger in China,Zvi,6mo
2310,"Ukraine #3: Decision Theory, Madman Theory and the Mafioso Nature",Zvi,6mo
2311,Whence the determinant?,Ege Erdil,6mo
2312,Food manufacturers are out to get you,jwray,6mo
2313,How to Lumenate (UK Edition),chanamessinger,6mo
2314,New GPT3 Impressive Capabilities - InstructGPT3 [1/2],WayZ,6mo
2315,Anecdotes Can Be Strong Evidence and Bayes Theorem Proves It,FCCC,6mo
2316,Challenges to Yudkowsky's Pronoun Reform Proposal,Zack_M_Davis,6mo
2317,War-prompted Disaster Planning,jefftk,6mo
2318,"Game theory, sanctions, and Ukraine",Dumbledore's Army,6mo
2319,Compute Trends — Comparison to OpenAI’s AI and Compute,"lennart, Jsevillamol, Pablo Villalobos, Marius Hobbhahn, Tamay Besiroglu, anson.ho",6mo
2320,Is there a good dataset for the moments of the income distribution throughout history?Q,Ege Erdil,6mo
2321,Why Rome?,Erich_Grunewald,6mo
2322,"Book review of ""Mengzi""",Anonymous,6mo
2323,"If someone with sufficient capabilities decides to deliberately create an Unaligned AGI, is there anything anyone can actually DO, to stop them?Q",[anonymous],6mo
2324,Experience Restarting Contra,jefftk,6mo
2325,Bear Surprise Freedom Network,CraigMichael,6mo
2326,Your Future Self's Credences Should Be Unpredictable to You,David Udell,6mo
2327,Arguments are good for helping people reason about things,AprilSR,6mo
2328,Is There a Valley of Bad Civilizational Adequacy?,lbThingrb,6mo
2329,Deep Dives: My Advice for Pursuing Work in Research ,scasper,6mo
2330,"If your solution doesn't work, make it work",Ege Erdil,6mo
2331,Ways to invest your wealth if you believe in a high-variance future?Q,Alex_Altair,6mo
2332,A Longlist of Theories of Impact for InterpretabilityΩ,Neel Nanda,6mo
2333,Beyond micromarriages,Richard_Ngo,6mo
2334,On continuous decision boundaries,eeegnu,6mo
2335,Are there any impossibility theorems for strong and safe AI?Q,David Johnston,6mo
2336,Rhythm Stage Setup v4,jefftk,6mo
2337,Algorithmic Measure of Emergence v2.0,interstice,6mo
2338,"Infohazards, hacking, and Bricking—how to formalize these concepts?Q",Yitz,6mo
2339,Treat Examples as World-Building,adamShimi,6mo
2340,Best LessWrong posts for understanding scientific studies.Q,Sean McAneny,6mo
2341,I left Russia on March 8,avturchin,6mo
2342,What’s the chance a smart London resident dies of a Russian nuke in the next month?,DanielFilan,6mo
2343,What's the best ratio for Africans to starve compared to Ukrainians not dying in the war?Q,ChristianKl,6mo
2344,Ukraine Post #2: Options,Zvi,6mo
2345,Covid 3/10/22: We Have a Plan,Zvi,6mo
2346,"Donations, The First Year",pixx,7mo
